fecha,sitio,clo
2023-05-22,SAT4,30.9
2023-05-22,SAT3,12.3
2023-05-22,CEN,12
2023-05-22,ZA,6.4
2023-05-22,SAT1,29.6
2023-08-02,SAT4,14.9
2023-08-02,SAT3,16.1
2023-08-02,CEN,38.2
2023-08-02,ZA,30.8
2023-08-02,ZB,28.1
2023-08-02,SAT2,23.5
2023-08-02,SAT1,11.6
2023-11-06,SAT4,-2.2
2023-11-06,SAT3,78.7
2023-11-06,ZA,23.9
2023-11-06,ZB,7
2023-11-06,CEN,21
2023-11-06,SAT1,27.4
2025-02-20,ZB,57.7
2025-02-20,ZA,39.3
2025-02-20,SAT4,12.1
2025-02-20,SAT3,5.5
2025-02-20,CEN,11.3
2025-02-20,SAT2,32.4
2025-06-04,ZB,8.1
2025-06-04,ZA,6.3
2025-06-04,SAT4,1.7
2025-06-04,SAT3,1.4
2025-06-04,CEN,4.1
2025-06-04,SAT2,-2.8
2025-06-04,SAT1,12.4
2025-11-19,ZB,27.9
2025-11-19,ZA,9.7
2025-11-19,SAT4,37
2025-11-19,SAT3,22.9
2025-11-19,CEN,8.3
2025-11-19,SAT2,25.4
2025-11-19,SAT1,11.7
2026-02-23,SAT1,26.7
2026-02-23,SAT2,47.5
2026-02-23,SAT3,18.1
2026-02-23,SAT4,16.6
2026-02-23,CEN,20.3
2026-02-23,ZA,19.6
2026-02-23,ZB,10.6
